URL,Image,Alt_Text,Path
https://www.lybalvihcp.com,logo-lybalvi.svg,"Logo for LYBALVI® (olanzapine and samidorphan) 5 mg/10 mg, 10 mg/10 mg, 15 mg/10 mg, or 20 mg/10 mg tablets",/getattachment/6cc5241f-454e-4f0f-9bc2-0d83288d8869/logo-lybalvi.svg
https://www.lybalvihcp.com,person-holding-sign-efficacy-for-me-m.jpg,"Person standing, holding a sign that says ""Efficacy For Me""",/Content/images/content-images/person-holding-sign-efficacy-for-me-m.jpg
https://www.lybalvihcp.com,woman-looking-at-child.jpg,Woman looking at a child,/Content/images/content-images/woman-looking-at-child.jpg
https://www.lybalvihcp.com,logo-alkermes.svg,Logo for Alkermes®,/Content/img/logo-alkermes.svg
/efficacy-safety,logo-lybalvi.svg,"Logo for LYBALVI® (olanzapine and samidorphan) 5 mg/10 mg, 10 mg/10 mg, 15 mg/10 mg, or 20 mg/10 mg tablets",/getattachment/6cc5241f-454e-4f0f-9bc2-0d83288d8869/logo-lybalvi.svg
/efficacy-safety,man-woman-walking-park.jpg,Man and woman walking in a park together,/Content/images/content-images/man-woman-walking-park.jpg
/efficacy-safety,logo-alkermes.svg,Logo for Alkermes®,/Content/img/logo-alkermes.svg
/schizophrenia-enlighten-1-efficacy-safety,logo-lybalvi.svg,"Logo for LYBALVI® (olanzapine and samidorphan) 5 mg/10 mg, 10 mg/10 mg, 15 mg/10 mg, or 20 mg/10 mg tablets",/getattachment/6cc5241f-454e-4f0f-9bc2-0d83288d8869/logo-lybalvi.svg
/schizophrenia-enlighten-1-efficacy-safety,woman-sitting-in-front-of-a-bookcase.jpg,Woman sitting in front of a bookcase,/Content/images/content-images/woman-sitting-in-front-of-a-bookcase.jpg
/schizophrenia-enlighten-1-efficacy-safety,study-design-enlighten-1-pivotal-study.png,"Graphic showing for the ENLIGHTEN-1 Pivotal Study how patients were randomized to LYBALVI, placebo, or olanzapine",/Content/images/content-images/study-design-enlighten-1-pivotal-study.png
/schizophrenia-enlighten-1-efficacy-safety,graph-4-week-panss-score-reduction.png,"Graph showing the change from baseline in PANSS total score (LS mean) for olanzapine, placebo, and LYBALVI",/Content/images/content-images/graph-4-week-panss-score-reduction.png
/schizophrenia-enlighten-1-efficacy-safety,study-design-enlighten-1-safety-extention-study.png,Graphic showing how patients were enrolled into the 52-week ENLIGHTEN-1 Safety Extension Study,/Content/images/content-images/study-design-enlighten-1-safety-extention-study.png
/schizophrenia-enlighten-1-efficacy-safety,graph-axis-52-week-panss-score-reduction.png,Y-axis for the graph showing the mean PANSS total score over time for 52-week ENLIGHTEN-1 Safety Extension Study,/Content/images/content-images/graph-axis-52-week-panss-score-reduction.png
/schizophrenia-enlighten-1-efficacy-safety,graph-52-week-panss-score-reduction.png,Graph showing the mean PANSS total score over time for 52-week ENLIGHTEN-1 Safety Extension Study,/Content/images/content-images/graph-52-week-panss-score-reduction.png
/schizophrenia-enlighten-1-efficacy-safety,logo-alkermes.svg,Logo for Alkermes®,/Content/img/logo-alkermes.svg
/schizophrenia-enlighten-2-efficacy-safety,logo-lybalvi.svg,"Logo for LYBALVI® (olanzapine and samidorphan) 5 mg/10 mg, 10 mg/10 mg, 15 mg/10 mg, or 20 mg/10 mg tablets",/getattachment/6cc5241f-454e-4f0f-9bc2-0d83288d8869/logo-lybalvi.svg
/schizophrenia-enlighten-2-efficacy-safety,man-in-hat-looking.jpg,Man wearing a hat looking toward the side of the screen,/Content/images/content-images/man-in-hat-looking.jpg
/schizophrenia-enlighten-2-efficacy-safety,study-design-enlighten-2-pivotal-study.png,Graphic showing the ENLIGHTEN-2 Pivotal Study how patients were randomized to LYBALVI or olanzapine,/Content/images/content-images/study-design-enlighten-2-pivotal-study.png
/schizophrenia-enlighten-2-efficacy-safety,graph-body-weight-change.png,Graph showing the percent change from baseline in body weight at Week 24 for patients using olanzapine and LYBALVI,/Content/images/content-images/graph-body-weight-change.png
/schizophrenia-enlighten-2-efficacy-safety,graph-patients-experiencing-weight-gain.png,Graph showing the proportion of patients who experienced ≥10% weight gain at Week 24 using olanzapine and LYBALVI,/Content/images/content-images/graph-patients-experiencing-weight-gain.png
/schizophrenia-enlighten-2-efficacy-safety,study-design-enlighten-2-safety-extention-study.png,Graphic showing how patients were enrolled into the 52-week ENLIGHTEN-2 Safety Extension Study,/Content/images/content-images/study-design-enlighten-2-safety-extention-study.png
/schizophrenia-enlighten-2-efficacy-safety,graph-axis-mean-body-weight.png,Y-axis for the graph showing the mean body weight over time for the 52-week ENLIGHTEN-2 Safety Extension Study,/Content/images/content-images/graph-axis-mean-body-weight.png
/schizophrenia-enlighten-2-efficacy-safety,graph-52-week-mean-body-weight.png,Graph showing the mean body weight over time for the 52-week ENLIGHTEN-2 Safety Extension Study,/Content/images/content-images/graph-52-week-mean-body-weight.png
/schizophrenia-enlighten-2-efficacy-safety,logo-alkermes.svg,Logo for Alkermes®,/Content/img/logo-alkermes.svg
/bipolar-I-disorder-efficacy-safety,logo-lybalvi.svg,"Logo for LYBALVI® (olanzapine and samidorphan) 5 mg/10 mg, 10 mg/10 mg, 15 mg/10 mg, or 20 mg/10 mg tablets",/getattachment/6cc5241f-454e-4f0f-9bc2-0d83288d8869/logo-lybalvi.svg
/bipolar-I-disorder-efficacy-safety,woman-in-home.jpg,Woman in home looking down,/Content/images/content-images/woman-in-home.jpg
/bipolar-I-disorder-efficacy-safety,logo-alkermes.svg,Logo for Alkermes®,/Content/img/logo-alkermes.svg
/about-lybalvi,logo-lybalvi.svg,"Logo for LYBALVI® (olanzapine and samidorphan) 5 mg/10 mg, 10 mg/10 mg, 15 mg/10 mg, or 20 mg/10 mg tablets",/getattachment/6cc5241f-454e-4f0f-9bc2-0d83288d8869/logo-lybalvi.svg
/about-lybalvi,swatch,a video thumbnail,https://fast.wistia.com/embed/medias/fxs9nv8ix9/swatch
/about-lybalvi,chalkboard-olanzapine-molecular-structure.png,"Chemical structure of the olanzapine molecule, in orange",/Content/images/content-images/chalkboard-olanzapine-molecular-structure.png
/about-lybalvi,chalkboard-samidorphan-molecular-structure.png,"Chemical structure of the samidorphan molecule, in blue",/Content/images/content-images/chalkboard-samidorphan-molecular-structure.png
/about-lybalvi,chalkboard-mechanism-of-action.png,"Diagram stating the mechanism of action for olanzapine is unclear; however, its efficacy in the treatment of schizophrenia or bipolar I disorder could be mediated through a combination of dopamine and serotonin type 2 (5HT₂) antagonism. The mechanism of action of samidorphan could be mediated through opioid receptor antagonism.",/Content/images/content-images/chalkboard-mechanism-of-action.png
/about-lybalvi,chalkboard-mechanism-of-action-mobile.png,"Diagram stating the mechanism of action for olanzapine is unclear; however, its efficacy in the treatment of schizophrenia or bipolar I disorder could be mediated through a combination of dopamine and serotonin type 2 (5HT₂) antagonism. The mechanism of action of samidorphan could be mediated through opioid receptor antagonism.",/Content/images/content-images/chalkboard-mechanism-of-action-mobile.png
/about-lybalvi,chalkboard-receptor-antagonism.png,Diagram illustrating that receptor antagonism blocks the action of a neurotransmitter,/Content/images/content-images/chalkboard-receptor-antagonism.png
/about-lybalvi,logo-alkermes.svg,Logo for Alkermes®,/Content/img/logo-alkermes.svg
/dosing,logo-lybalvi.svg,"Logo for LYBALVI® (olanzapine and samidorphan) 5 mg/10 mg, 10 mg/10 mg, 15 mg/10 mg, or 20 mg/10 mg tablets",/getattachment/6cc5241f-454e-4f0f-9bc2-0d83288d8869/logo-lybalvi.svg
/dosing,man-carrying-supplies-on-fishing-boat.jpg,Man carrying supplies on a fishing boat,/Content/images/content-images/man-carrying-supplies-on-fishing-boat.jpg
